candidate,refined,capacitance_f,amplitude_peak_v,time_s,input_v,output_v,capacitor_current_a,supply_delivered_current_a,input_delivered_current_a
F75S,False,1e-12,,2.2300000000000002e-06,0.47000000000000003,0.378601600043244,-1.5254080162858126e-11,7.528026494415582e-05,8.337220316095073e-07
F75S,False,1e-12,,2.232e-06,0.47000000000000003,0.378601562781038,-2.200812584769869e-11,7.528026612122842e-05,8.337223776835975e-07
F75S,False,1e-12,,2.234e-06,0.47000000000000003,0.3786015297306326,-1.1042279578835906e-11,7.528026508545354e-05,8.337226680951004e-07
F75S,False,1e-12,,2.2360000000000003e-06,0.47000000000000003,0.37860150041957713,-1.8268775998135063e-11,7.528026624651916e-05,8.337229416916555e-07
F75S,False,1e-12,,2.238e-06,0.47000000000000003,0.3786014744205663,-7.730234821028988e-12,7.528026519652134e-05,8.337231686523324e-07
F75S,False,1e-12,,2.24e-06,0.47000000000000003,0.37860145136353907,-1.532679237645458e-11,7.528026634505506e-05,8.33723385378234e-07
F75S,False,1e-12,,2.242e-06,0.47000000000000003,0.37860143091183535,-5.124911418501105e-12,7.52802652840191e-05,8.337235625184691e-07
F75S,False,1e-12,,2.244e-06,0.47000000000000003,0.37860141277475473,-1.3012169302254309e-11,7.528026642251049e-05,8.337237343587735e-07
F75S,False,1e-12,,2.246e-06,0.47000000000000003,0.3786013966873826,-3.0752029224748015e-12,7.528026535282798e-05,8.337238725501512e-07
F75S,False,1e-12,,2.2480000000000003e-06,0.47000000000000003,0.37860138242165386,-1.1190525769522112e-11,7.528026648371366e-05,8.337240089483474e-07
F75S,False,1e-12,,2.25e-06,0.47000000000000003,0.3786013697670384,-1.4640897299054172e-12,7.528026540684006e-05,8.337241162587624e-07
F75S,False,1e-12,,2.252e-06,0.47000000000000003,0.37860135854484805,-9.758100679053235e-12,7.528026653150933e-05,8.337242247362103e-07
F75S,False,1e-12,,2.254e-06,0.47000000000000003,0.3786013485896896,-1.9705777808051138e-13,7.528026544953327e-05,8.337243079787269e-07
F75S,False,1e-12,,2.256e-06,0.47000000000000003,0.378601339762328,-8.630303754445728e-12,7.528026656926652e-05,8.337243946047043e-07
F75S,False,1e-12,,2.2580000000000002e-06,0.47000000000000003,0.37860133193151263,7.994883399923636e-13,7.52802654828797e-05,8.337244588906846e-07
F75S,False,1e-12,,2.26e-06,0.47000000000000003,0.37860132498741456,-7.743586537015364e-12,7.528026659873113e-05,8.33724528035325e-07
F75S,False,1e-12,,2.262e-06,0.47000000000000003,0.37860131882702186,1.583193772280119e-12,7.528026550912362e-05,8.33724577655409e-07
F75S,False,1e-12,,2.2640000000000003e-06,0.47000000000000003,0.37860131336521846,-7.04499728272238e-12,7.528026662215611e-05,8.337246331217317e-07
