frequency_hz,branch_transfer_real_ohm,branch_transfer_imag_ohm
728618.1745132377,-76865.69888883414,6326.611461062612
749894.2093324661,-76835.66803642668,6508.860044045857
771791.5155850231,-76803.88278945346,6696.207798157528
794328.2347242925,-76770.24221526319,6888.783876349511
817523.0379436614,-76734.63976299668,7086.719472262501
841395.141645207,-76696.9629735649,7290.147731376763
865964.3233600776,-76657.09317781572,7499.203647259905
891250.9381337581,-76614.90518197732,7714.023941694168
917275.9353897927,-76570.2669412005,7934.746927034874
944060.8762859369,-76523.03922020498,8161.512349425819
971627.9515771201,-76473.07524216264,8394.461210964722
1000000.0000000144,-76420.22032450212,8633.735569339045
