candidate,frequency_hz,zout_real_ohm,zout_imag_ohm
R75,15848931.924611438,4402.331151535036,-2768.8329091030805
R75,16311729.092278697,4329.605835206775,-2802.595664602303
R75,16788040.181225926,4255.147480336926,-2834.8144132022517
R75,17278259.80507897,4179.0210783650855,-2865.381046051149
R75,17782794.100389574,4101.300207868665,-2894.1901371028994
R75,18302061.063110918,4022.0669474898214,-2921.1397449823753
R75,18836490.894898374,3941.41170184621,-2946.132221551996
R75,19386526.359522454,3859.4329377852405,-2969.07501646371
R75,19952623.14968919,3776.236829822313,-2989.8814663732687
R75,20535250.264571868,3691.9368152152892,-3008.471557113612
R75,21134890.398366887,3606.653060827466,-3024.7726470000857
R75,21752040.34019566,3520.5118456812456,-3038.720139591831
R75,22387211.385683842,3433.644864847885,-3050.258094674269
R75,23040929.760558918,3346.188462009,-3059.3397669586125
R75,23713737.05661703,3258.282799602635,-3065.9280630087883
R75,24406190.680420294,3170.0709768850375,-3069.995908183333
R75,25118864.315096308,3081.6981074457394,-3071.526516891836
R75,25852348.39562243,2993.3103686668605,-3070.5135611718924
R75,26607250.597988635,2905.054036286577,-3066.9612344465295
R75,27384196.34264417,2817.07451758222,-3060.8842092694717
R75,28183829.31264511,2729.515396722667,-3052.307489849006
R75,29006811.98693213,2642.517505547232,-3041.2661621005946
R75,29853826.189180207,2556.218032422441,-3027.8050458559483
R75,30725573.652675096,2470.7496809297286,-3011.9782555968063
R75,31622776.601684444,2386.239888977805,-2993.8486776362406
R75,32546178.34980526,2302.810117557053,-2973.487372998663
R75,33496543.915783457,2220.5752168005456,-2950.972916318392
R75,34474660.65731565,2139.642875348693,-2926.3906818673477
R75,35481338.92335828,2060.113157274325,-2899.832088321234
R75,36517412.72548453,1982.0781290741786,-2871.3938140836703
R75,37583740.4288452,1905.6215775188937,-2841.1769949183517
R75,38681205.463306025,1830.8188175190166,-2809.28641530852
R75,39810717.05535056,1757.7365876564763,-2775.829704400362
R75,40973210.98135501,1686.4330296745168,-2740.916546621591
R75,42169650.34285911,1616.9577470452193,-2704.6579161381837
R75,43401026.3644753,1549.3519367550591,-2667.165343257447
R75,44668359.21509726,1483.6485876758434,-2628.5502197443875
R75,45972698.8530882,1419.872738323009,-2588.9231488297323
R75,47315125.89614906,1358.0417864370236,-2548.3933444851496
R75,48696752.516587354,1298.1658426498848,-2507.0680833597457
R75,50118723.362728305,1240.2481204967896,-2465.052211636288
R75,51582216.507231675,1184.285355188244,-2422.4477080019387
R75,53088444.42309998,1130.26824384409,-2379.3533029517457
R75,54638654.988186605,1078.1819002906493,-2335.8641537707094
R75,56234132.51903613,1028.0063180065642,-2292.071573775951
R75,57876198.83491332,979.7168353546435,-2248.0628137526055
R75,59566214.352902345,933.2845978317338,-2203.9208929833926
R75,61305579.21498341,888.6770126879239,-2159.7244768500623
R75,63095734.44802071,845.8581918932855,-2115.5477976699094
R75,64938163.15762256,804.7893800496703,-2071.460615214501
R75,66834391.75686294,765.4293644437697,-2027.5282132305147
R75,68785991.23088229,727.7348650073795,-1983.8114282364177
R75,70794578.43841536,691.6609024816105,-1940.366706889978
R75,72861817.45132439,657.1611435704835,-1897.2461883026976
R75,74989420.93324725,624.1882223107964,-1854.4978078058082
R75,77179151.55850297,592.6940372781552,-1812.1654188392988
R75,79432823.47242993,562.6300245932949,-1770.2889298314217
R75,81752303.79436684,533.9474069893926,-1728.9044531535767
R75,84139514.1645214,506.59741945088524,-1688.0444634652088
R75,86596432.33600849,480.5315121412314,-1647.7379630012758
R75,89125093.81337658,455.70153150324444,-1608.010651593818
R75,91727593.53898005,432.0598805447507,-1568.885099454893
R75,94406087.6285945,409.5596594186708,-1530.3809209782771
R75,97162795.15771285,388.1547874725735,-1492.5149480362393
R75,100000000.0000023,367.8001079835123,-1455.3014014562023
F75L,1000.0,17367.290279500427,-1.9215619307129819
F75L,1029.2005271944283,17367.290266878146,-1.9776725506863406
F75L,1059.2537251772892,17367.290253537572,-2.0354216302212715
F75L,1090.1844923851281,17367.290239408907,-2.094857013183233
F75L,1122.018454301964,17367.29022444004,-2.156027940507305
F75L,1154.781984689459,17367.29020856602,-2.2189850909859556
F75L,1188.5022274370194,17367.290191773354,-2.2837806232719964
F75L,1223.2071190499325,17367.290173974776,-2.350468219058597
F75L,1258.9254117941682,17367.290155126408,-2.4191031275835715
F75L,1295.6866975170205,17367.290135165906,-2.4897422113860155
F75L,1333.5214321633252,17367.290114003143,-2.562443993412202
F75L,1372.4609610075634,17367.290091616684,-2.637268705529052
F75L,1412.5375446227558,17367.290067855236,-2.7142783383651867
F75L,1453.7843856076636,17367.290042744506,-2.793536692762924
F75L,1496.2356560944354,17367.29001611019,-2.8751094325177835
F75L,1539.926526059494,17367.289987905984,-2.9590641388832664
F75L,1584.8931924611159,17367.289958036665,-3.04547036650382
F75L,1631.1729092278408,17367.289926391837,-3.1343997010494435
