case,relative_time_s,output_v,supply_v,supply_a,capacitor_a,load_a,nmos_drain_a,passive_output_v,passive_supply_a
R75-input_first-slow-8p,3.248594336439604e-08,0.0027171171106264128,0.032485943364396155,4.4649722865506045e-06,8.083312472745817e-07,2.7171171106264125e-08,3.629469868169751e-06,0.008059663903997908,3.6636533776808683e-06
R75-input_first-slow-8p,3.298546780505587e-08,0.00276760484072993,0.03298546780505595,4.532322488778471e-06,8.089438807604322e-07,2.7676048407299298e-08,3.695702559610737e-06,0.008284609513650431,3.704836958802602e-06
R75-input_first-slow-8p,3.34926732498971e-08,0.0028188689021487103,0.03349267324989692,4.600708310373094e-06,8.095659344867821e-07,2.8188689021487104e-08,3.762953686864828e-06,0.008515488948186755,3.746282596179962e-06
R75-input_first-slow-8p,3.400767780690485e-08,0.0028710039541692345,0.03400767780690499,4.670133268362395e-06,8.101713747674035e-07,2.8710039541692346e-08,3.831251854053302e-06,0.008752444394401737,3.787986678276041e-06
R75-input_first-slow-8p,3.453060140016741e-08,0.002924035039148852,0.03453060140016736,4.74061159388504e-06,8.107562595067555e-07,2.924035039148852e-08,3.900614983986794e-06,0.00899562087205471,3.829945441036473e-06
R75-input_first-slow-8p,3.506156579780201e-08,0.0029778815636792074,0.03506156579780181,4.812173638779504e-06,8.113501378043061e-07,2.9778815636792073e-08,3.971044685338397e-06,0.009245166268074626,3.872154966948114e-06
R75-input_first-slow-8p,3.56006946403094e-08,0.0030325560664753275,0.03560069464030937,4.884836067001269e-06,8.119531479507025e-07,3.032556066475328e-08,4.042557358385799e-06,0.009501231370318577,3.91461118422824e-06
R75-input_first-slow-8p,3.614811346936493e-08,0.0030880712790553907,0.03614811346936499,4.958615798741254e-06,8.125654303630356e-07,3.0880712790553907e-08,4.115169655587644e-06,0.009763969900845784,3.957309866152098e-06
R75-input_first-slow-8p,3.670394975705244e-08,0.0031445993917788347,0.036703949757052455,5.033506126786359e-06,8.131539847331257e-07,3.1445993917788346e-08,4.188906148135426e-06,0.010033538548667578,4.000246630525689e-06
R75-input_first-slow-8p,3.726833293554726e-08,0.0032020425921802406,0.037268332935547405,5.109541135148357e-06,8.13742042303963e-07,3.20204259218024e-08,4.2637786669225765e-06,0.010310097001933638,4.043416939310312e-06
R75-input_first-slow-8p,3.784139442725569e-08,0.0032603690756135453,0.037841394427255585,5.186745305956861e-06,8.143391422204649e-07,3.260369075613545e-08,4.339802472980249e-06,0.010593807979514607,4.0868160984059305e-06
R75-input_first-slow-8p,3.842326767541815e-08,0.003319592423998167,0.03842326767541828,5.26513661699426e-06,8.149454235234659e-07,3.319592423998167e-08,4.4169952692308045e-06,0.010884837261940814,4.130439257601179e-06
R75-input_first-slow-8p,3.901408817518303e-08,0.003379726428097576,0.03901408817518317,5.344733322480522e-06,8.155610273917796e-07,3.379726428097576e-08,4.495375030807763e-06,0.011183353721656266,4.174281410695886e-06
R75-input_first-slow-8p,3.9613993505157944e-08,0.003440944952193043,0.039613993505158,5.425529979993252e-06,8.161671850945767e-07,3.440944952193043e-08,4.574953345376743e-06,0.011489529352546875,4.218337395804866e-06
