candidate,index,condition,role,numerical_usable,terminal_supported,out_v,error_v,gain,band_min_magnitude,band_max_magnitude,bandwidth_hz,current_a,power_w,dc_ac_current_pass,sine_assessed,sine_thd_fraction,sine_gain,sine_min_v,sine_max_v,sine_stationary,sine_all_assessed_pass,predicted_out_v,realization_id,attempt_sha256
A37,125,supply_097,CONFIRMATION,True,True,0.4042217447962291,-0.09577825520377092,-6.128750391383995,6.118618894803405,6.128751408538191,1736755.797503514,3.564692053585683e-05,3.457730080499816e-05,False,False,,,,,,,0.40495291023974866,133041a0e8f8520553ced8e97ec534f9407d1df9b11b3c31f123add3eb6c7b34,ff5eddd935c3a57b5c3e8bd99d0a9072b7e33eeaf651e53e20d14c85b0e372e9
A37,126,nominal,CONFIRMATION,True,True,0.3299022186174827,-0.1700977813825173,-6.071694751984282,6.061528072769683,6.071695772754084,1725667.9831784281,3.590870222420638e-05,3.5908483693689806e-05,False,False,,,,,,,0.3245853080175416,a7447bcae5bbb4a8824ae10c62b440bb20ee544a6f5f3edf9970828af6c6e832,3769026849ccbd17dd6aac447b14e64f3a77295f121f5b5da7fa7135e63faff0
A37,126,supply_097,CONFIRMATION,True,True,0.2750788140874062,-0.2249211859125938,-6.038882431973445,6.028845009672895,6.0388834397811255,1732048.390242462,3.406757549918384e-05,3.304533715148721e-05,False,False,,,,,,,0.26463935731003313,a7447bcae5bbb4a8824ae10c62b440bb20ee544a6f5f3edf9970828af6c6e832,b3809de969913225e4de4e3acec0048a101a4e9bae1ac2799480f768e893e976
A37,127,nominal,CONFIRMATION,True,True,0.5690824583034453,0.06908245830344528,-5.939477022062187,5.930004525842768,5.939477972881921,1768272.2018699772,3.832127944638381e-05,3.832107236369804e-05,False,False,,,,,,,0.5682565164520211,c3c265fb802cf330e54bcb4ab14c7cf015402fc598c900cb31c987b29613760b,86fa932e67369bbf1ed3442170b45bc8160bf3eff895caae4c9fc6d65fa872a7
A37,127,supply_097,CONFIRMATION,True,True,0.5074944851367409,0.0074944851367408916,-5.981179404698327,5.971490858100649,5.981180377276592,1754507.117509195,3.6416240804760855e-05,3.532355486779645e-05,True,False,,,,,,,0.5083105657445126,c3c265fb802cf330e54bcb4ab14c7cf015402fc598c900cb31c987b29613760b,ec3e67ac5714802484010b9f3241dcd29a2b17929471ce69bea05ce0f95cb72c
A37,128,nominal,CONFIRMATION,True,True,0.619419454877257,0.11941945487725703,-5.8382643248184145,5.829193700694289,5.838265235227169,1791600.9100488666,3.869932459764586e-05,3.869912579402363e-05,False,False,,,,,,,0.6193612945964413,2f88c13f100908214e8eb74b28c7847928ad8cdf90c3bb3722b4200b87c5d6b3,8ccbe8d4027b5164b97e1ef5ae2e53f22aff35eab8846c2f451c4f7a9ed44121
A37,128,supply_097,CONFIRMATION,True,True,0.5571244345070923,0.05712443450709226,-5.901574272245122,5.8921914268417686,5.901575214069265,1771041.622778848,3.6787496074627515e-05,3.568367830006562e-05,False,False,,,,,,,0.5594153438889329,2f88c13f100908214e8eb74b28c7847928ad8cdf90c3bb3722b4200b87c5d6b3,783a1aaf4775338cb108c201332408389b63cf39a95088242f9658cef3f47516
A37,129,nominal,CONFIRMATION,True,True,0.375079145503078,-0.12492085449692197,-6.057450486834963,6.047327893726927,6.057451503147655,1727408.3796345536,3.6482580400441853e-05,3.648236563947132e-05,False,False,,,,,,,0.37435219074221115,f20c9b454c07c78fb49395841febf53da81855c442ff374589c613ba2d27f8b1,62e4b234dbae1db230bc0502a454fddbd772eff3c7d5a57d9c0b4d26653c4e39
A37,129,supply_097,CONFIRMATION,True,True,0.31906353731021875,-0.18093646268978125,-6.052342228336739,6.042220586252275,6.052343244589171,1726754.7001017346,3.4631042773658965e-05,3.359190557250894e-05,False,False,,,,,,,0.3144062400347027,f20c9b454c07c78fb49395841febf53da81855c442ff374589c613ba2d27f8b1,0062f15d588ce7736cbd018c795e7a5fea209c49a96e9d119bbfaa4867b1967f
A37,130,nominal,CONFIRMATION,True,True,0.6017579805202605,0.10175798052026053,-5.758843497902585,5.7497346981867725,5.758844412199592,1775654.6121799538,3.798075757223147e-05,3.798056758897893e-05,False,False,,,,,,,0.6029571838165599,73356dbb952eb96dc462358139b4f06df14b43b88ef376003530bee813b24df4,f6ac4e321d814171ae12eb3ee6b80e0b2509004408b75df03e275d2266372cdb
A37,130,supply_097,CONFIRMATION,True,True,0.540750252826119,0.04075025282611899,-5.809133029021204,5.7997688923518815,5.809133969020721,1758799.9803049152,3.608303478563875e-05,3.5000360051147944e-05,False,False,,,,,,,0.5430112331090515,73356dbb952eb96dc462358139b4f06df14b43b88ef376003530bee813b24df4,b276ffdb74fb5ca7c2d49369b16d1a4ec8535f8c4aa87cd9c7f7faf6d11fe2a9
A37,131,nominal,CONFIRMATION,True,True,0.3947682534130695,-0.10523174658693052,-6.088873974430575,6.0787399013133365,6.088874991869974,1730893.413028175,3.6700505162262455e-05,3.670028711255095e-05,False,False,,,,,,,0.39541394595154455,95dacb9e69f7d6a97d7a744229c82a90a774986f61675e47930e4c6f7d8d2b3b,491f8ca08b275b26ae850dfa09b1423157ce405f7cc2b72ae70cdfcec2ef53f4
